iter	Passed	Remaining
403	10307	15205
404	10316	15156
405	10325	15106
406	10330	15051
407	10337	14999
408	10346	14950
409	10354	14900
410	10362	14850
411	10370	14800
412	10375	14747
413	10385	14699
414	10392	14649
415	10397	14597
416	10417	14564
417	10441	14538
418	10451	14492
419	10458	14442
420	10466	14393
421	10475	14348
422	10482	14299
423	10490	14251
424	10499	14205
425	10508	14159
426	10515	14111
427	10524	14065
428	10532	14019
429	10538	13970
430	10545	13922
431	10550	13871
432	10559	13827
433	10568	13782
434	10574	13735
435	10581	13688
436	10586	13638
437	10596	13595
438	10604	13551
439	10611	13504
440	10620	13462
441	10634	13425
442	10653	13394
443	10662	13352
444	10668	13306
445	10677	13262
446	10685	13219
447	10692	13174
448	10700	13131
449	10706	13086
450	10715	13043
451	10724	13001
452	10729	12956
453	10739	12915
454	10745	12871
455	10755	12831
456	10761	12786
457	10770	12745
458	10777	12702
459	10786	12662
460	10794	12620
461	10801	12578
462	10809	12537
463	10816	12495
464	10827	12457
465	10835	12416
466	10842	12374
467	10850	12334
468	10860	12295
469	10869	12256
470	10877	12217
471	10885	12177
472	10896	12140
473	10902	12098
474	10912	12061
475	10924	12025
476	10933	11987
477	10938	11944
478	10946	11905
479	10953	11866
480	10961	11826
481	10968	11787
482	10978	11751
483	10987	11713
484	10996	11677
485	11004	11638
486	11013	11601
487	11021	11563
488	11029	11525
489	11039	11490
490	11062	11468
491	11073	11433
492	11082	11397
493	11091	11361
494	11101	11325
495	11110	11289
496	11120	11254
497	11129	11218
498	11136	11181
499	11146	11146
500	11154	11110
501	11161	11073
502	11170	11037
503	11177	11000
504	11185	10963
505	11194	10928
506	11200	10891
507	11208	10855
508	11218	10821
509	11225	10785
510	11234	10750
511	11243	10716
512	11251	10681
513	11260	10647
514	11266	10610
515	11275	10576
516	11283	10541
517	11292	10507
518	11300	10472
519	11305	10435
520	11312	10400
521	11320	10365
522	11328	10332
523	11333	10295
524	11339	10259
525	11346	10224
526	11352	10189
527	11359	10154
528	11366	10120
529	11373	10086
530	11383	10054
531	11390	10020
532	11398	9987
533	11405	9953
534	11416	9923
