iter	RMSE
380	6042758.674
381	6041623.998
382	6041087.631
383	6040106.278
384	6039180.018
385	6037309.265
386	6035680.3
387	6034765.876
388	6033176.83
389	6031991.383
390	6031124.379
391	6027280.182
392	6026548.746
393	6025112.881
394	6023956.595
395	6021726.704
396	6020842.114
397	6018144.966
398	6016469.86
399	6011908.675
400	6010828.7
401	6009829.207
402	6008122.185
403	6007165.03
404	6005782.097
405	6002581.297
406	6001618.469
407	5999641.265
408	5998407.758
409	5995457.103
410	5993913.442
411	5992369.813
412	5989330.147
413	5987833.051
414	5986868.591
415	5985983.166
416	5984620.86
417	5982844.771
418	5980998.077
419	5980037.199
420	5978484.502
421	5977717.766
422	5977195.407
423	5976683.777
424	5975884.981
425	5974892.969
426	5973733.547
427	5972670.532
428	5971600.892
429	5970038.345
430	5969368.892
431	5968525.448
432	5967250.738
433	5964996.042
434	5964322.316
435	5962109.663
436	5961520.808
437	5959580.844
438	5957538.306
439	5957184.936
440	5956158.437
441	5954395.269
442	5953550.358
443	5952680.15
444	5951751.841
445	5950783.499
446	5949072.52
447	5948024.25
448	5946923.946
449	5946282.016
450	5945429.929
451	5944358.63
452	5943412.236
453	5942736.802
454	5941305.264
455	5940245.463
456	5939981.976
457	5938432.679
458	5938101.964
459	5936151.247
460	5934056.85
461	5933151.82
462	5932298.569
463	5931366.297
464	5930146.272
465	5929330.462
466	5928569.293
467	5927777.394
468	5925485.034
469	5924654.517
470	5923902.711
471	5922897.928
472	5921491.625
473	5920868.319
474	5919382.799
475	5917751.686
476	5916128.868
477	5914620.706
478	5913134.198
479	5912220.133
480	5911570.296
481	5910583.309
482	5908666.927
483	5908359.283
484	5906820.318
485	5905254.361
486	5904560.148
487	5903085.34
488	5902347.358
489	5901402.912
490	5899528.01
491	5897647.26
492	5896774.432
493	5896243.377
494	5894877.201
495	5893744.184
496	5893138.75
497	5891015.513
498	5890188.149
499	5888880.844
500	5887404.978
501	5886499.047
502	5884998.002
503	5884348.153
504	5883412.694
505	5882651.037
506	5881744.662
507	5881164.505
508	5879862.306
509	5879622.745
510	5878768.245
511	5877776.108
512	5876305.586
513	5875009.359
514	5874780.563
515	5874028.413
516	5872790.352
517	5872191.074
518	5871185.926
519	5870967.68
520	5870223.307
521	5869536.529
522	5868464.374
523	5867726.247
524	5867396.67
525	5866074.196
526	5864741.153
527	5863522.908
528	5863046.062
529	5862039.236
530	5860936.315
531	5859315.956
532	5858431.329
533	5857221.392
534	5856313.38
535	5854141.419
536	5853494.246
537	5852285.786
538	5850943.226
539	5850492.757
540	5849228.615
541	5849020.098
542	5846526.693
543	5845207.963
544	5844528.23
545	5843278.331
546	5843042.644
547	5842723.775
548	5841901.748
549	5841300.525
550	5840656.453
551	5840458.363
552	5839035.8
553	5838801.225
554	5837507.303
555	5837236.044
556	5836594.397
557	5835745.102
558	5834068.184
559	5833188.03
560	5831729.09
561	5830968.514
562	5830410.797
563	5829324.777
564	5828761.184
565	5828010.032
566	5826544.363
567	5825532.691
568	5824335.471
569	5823608.81
570	5823066.927
571	5821735.947
572	5821231.847
573	5820958.915
574	5820438.44
575	5820172.837
576	5819472.898
577	5818253.278
578	5816611.02
579	5814906.709
580	5814325.946
581	5813577.157
582	5813069.658
583	5811884.345
584	5811121.14
585	5810433.404
586	5809863.346
587	5806926.012
588	5806588.708
589	5805863.547
590	5803259.427
591	5802126.742
592	5801434.759
593	5800377.518
594	5799998.177
595	5799210.948
596	5797723.98
597	5796909.415
598	5796345.27
599	5795715.923
600	5794647.038
601	5792733.348
602	5791520.638
603	5790703.651
604	5789664.765
605	5788195.312
606	5786282.123
607	5785184.115
608	5783372.523
609	5782669.648
610	5782193.156
611	5781685.106
612	5780892.315
613	5779798.105
614	5779476.906
615	5778732.576
616	5778497.249
617	5777422.206
618	5776010.938
619	5775359.515
620	5774587.49
621	5773428.949
622	5772822.668
623	5771661.442
624	5771224.551
625	5770985.962
626	5770097.328
627	5769265.126
628	5768628.24
629	5767880.138
630	5767454.575
631	5766888.436
632	5765848.332
633	5765254.335
634	5764498.199
635	5763560.292
636	5762843.026
637	5761166.211
638	5760308.548
639	5759394.117
640	5758798.4
641	5758275.864
642	5757452.73
643	5756732.884
644	5756013.504
645	5755396.824
646	5755186.056
647	5754598.999
648	5752996.879
649	5750722.321
650	5750214.557
651	5748912.655
652	5748333.026
653	5747317.543
654	5746822.23
655	5745590.98
656	5744106.364
657	5743096.862
658	5742225.115
659	5742057.117
660	5741358.659
661	5740651.721
662	5740238.103
663	5739849.052
664	5738237.868
665	5737743.563
666	5736969.47
667	5736546.826
668	5735174.105
669	5734949.848
670	5734060.516
671	5733395.252
672	5733056.45
673	5732108.613
674	5731760.693
675	5731006.382
676	5730458.414
677	5729786.742
678	5729143.696
679	5727880.388
680	5727668.89
681	5725680.224
682	5724955.994
683	5724294.684
684	5723941.538
685	5723027.411
686	5722272.007
687	5721003.4
688	5720694.038
689	5719246.414
690	5718564.278
691	5716717.506
692	5715832.987
693	5714685.416
694	5714325.09
695	5712904.583
696	5710837.028
697	5709735.856
698	5709404.092
699	5708736.614
700	5707930.521
701	5707486.358
702	5706765.431
703	5706395.505
704	5706006.763
705	5705633.184
706	5704704.137
707	5704218.308
708	5703447.306
709	5701986.401
710	5701271.383
711	5700923.483
712	5700651.633
713	5699325.791
714	5698662.449
715	5698250.56
716	5697688.363
717	5696855.047
718	5695610.279
719	5694689.247
720	5694508.737
721	5693914.94
722	5693095.397
723	5692928.682
724	5692626.827
725	5691413.796
726	5691220.758
727	5690075.614
728	5688341.455
729	5687529.126
730	5687199.506
731	5686543.605
732	5685262.047
733	5684741.76
734	5684020.803
735	5683478.859
736	5683184.691
737	5681983.72
738	5681376.514
739	5680536.946
740	5679445.798
741	5678003.825
742	5676738.82
743	5676329.662
744	5674507.639
745	5674044.312
746	5673021.243
747	5672431.004
748	5669788.286
749	5668607.065
750	5667914.044
751	5666751.87
752	5666598.941
753	5665153.133
754	5664397.86
755	5663321.792
756	5662779.763
757	5662370.052
758	5661458.846
759	5660929.55
760	5660393.543
761	5659907.979
762	5658886.723
763	5658644.016
764	5658403.911
765	5658019.408
766	5656471.757
767	5655946.676
768	5654414.796
769	5654185.328
770	5653895.31
771	5653557.875
772	5652533.36
773	5651345.976
774	5650803.592
775	5650140.051
776	5649375.619
777	5648560.066
778	5647112.627
779	5646823.541
780	5646393.755
781	5645518.739
782	5645292.551
783	5644773.476
784	5644176.329
785	5642472.688
786	5641791.091
787	5641145.363
788	5640544.207
789	5639598.87
790	5638159.454
791	5637058.941
792	5636561.721
793	5636159.405
794	5633905.203
795	5633764.335
796	5633294.015
797	5632301.469
798	5631629.251
799	5631045.893
800	5630303.211
801	5629313.093
802	5628951.871
803	5628222.057
804	5627263.878
805	5626609.096
806	5626076.526
807	5625561.91
808	5624790.907
809	5624388.142
810	5624241.41
811	5622395.955
812	5622183.791
813	5621416.256
814	5620445.578
815	5619774.825
816	5619460.763
817	5618734.528
818	5618256.039
819	5617762.425
820	5617554.872
821	5616922.098
822	5616041.478
823	5615521.612
824	5615197.783
825	5614896.521
826	5613459.27
827	5612939.637
828	5612487.298
829	5612049.048
830	5610975.775
831	5610618.02
832	5609490.949
833	5608236.464
834	5607410.067
835	5606942.786
836	5606500.215
837	5606123.688
838	5605734.038
839	5605177.522
840	5604749.458
841	5603775.153
842	5602573.105
843	5601387.209
844	5600772.984
845	5599522.441
846	5599145.82
847	5598734.727
848	5598079.616
849	5596650.391
850	5596358.495
851	5595970.614
852	5594908.977
853	5593396.244
854	5592940.894
855	5592538.025
856	5591564.112
857	5591442.899
858	5590628.938
859	5590058.946
860	5589212.537
861	5588948.56
862	5587797.143
863	5587213.847
864	5586720.547
865	5585945.186
866	5585478.127
867	5585125.891
868	5584575.103
869	5583590.618
870	5582771.167
871	5581837.794
872	5580762.502
873	5580416.068
874	5580295.41
875	5578851.143
876	5577725.048
877	5576080.782
878	5575484.899
879	5575034.554
880	5574416.55
881	5573313.584
882	5572392.141
883	5572067.392
884	5571277.572
885	5570367.28
886	5569947.771
887	5569263.669
888	5568746.394
889	5568346.726
890	5567435.118
891	5567259.082
892	5567018.38
893	5566497.751
894	5565874.462
895	5565051.612
896	5564647.565
897	5563679.487
898	5562794.27
899	5562438.537
900	5562120.059
901	5561458.68
902	5560993.713
903	5560672.935
904	5560127.311
905	5559415.042
906	5559321.212
907	5558375.948
908	5557419.654
909	5556931.527
910	5556645.074
911	5555879.946
912	5555328.148
913	5554395.527
914	5553879.953
915	5553385.259
916	5552568.671
917	5551360.1
918	5550525.968
919	5549839.752
920	5549431.457
921	5549347.322
922	5549016.305
923	5548195.204
924	5547211.173
925	5546729.25
926	5546421.23
927	5545663.854
928	5545516.575
929	5544623.182
930	5544474.159
931	5543962.519
932	5543193.636
933	5542451.822
934	5541983.755
935	5540567.072
936	5540039.874
937	5539587.117
938	5538959.771
939	5538574.343
940	5537889.566
941	5537391.822
942	5537151.908
943	5536984.818
944	5536342.311
945	5535647.888
946	5534554.265
947	5533730.467
948	5532374.139
949	5531819.589
950	5531236.959
951	5531067.944
952	5530443.713
953	5530034.087
954	5528808.466
955	5528209.774
956	5527665.969
957	5526850.22
958	5526646.234
959	5525413.342
960	5525227.876
961	5524525.812
962	5523549.59
963	5522992.033
964	5522836.995
965	5522495.306
966	5521913.368
967	5521371.366
968	5520317.219
969	5519718.909
970	5518925.248
971	5518458.845
972	5517603.345
973	5517047.325
974	5516444.146
975	5515846.236
976	5515102.608
977	5514637.953
978	5513855.146
979	5513567.167
980	5512806.32
981	5511698.333
982	5511141.622
983	5510603.003
984	5510011.829
985	5509510.041
986	5508909.222
987	5507977.762
988	5507701.942
989	5506388.027
990	5505826.389
991	5505253.935
992	5504842.3
993	5503751.374
994	5503365.309
995	5502623.703
996	5502206.777
997	5501661.67
998	5500910.052
999	5499812.159
